model,term,estimate_bp,ci_low_bp,ci_high_bp,p_value,observations,r_squared
credit_risk,lag_pd_z,18.882168,9.079980,28.684356,0.000160,108,0.685456
dual_pricing,lag_pd_z,18.251563,8.524066,27.979061,0.000236,108,0.691633
dual_pricing,carbon_z,25.020565,-10.536084,60.577213,0.167836,108,0.691633
esg_moderation,lag_pd_z,19.427129,7.736947,31.117312,0.001125,108,0.696070
esg_moderation,carbon_z,23.122399,-10.183919,56.428717,0.173616,108,0.696070
esg_moderation,esg_z,2.311972,-13.941033,18.564978,0.780396,108,0.696070
esg_moderation,lag_pd_z:esg_z,5.395649,-5.309132,16.100430,0.323200,108,0.696070
